"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1790381242602709181","Tue May 14 13:58:46 +0000 2024","0","eh deehan dara klean jadi nikah kaga si bzir gw dah nyiapin template pake lagunya iky lini bermuara ini heyyy","1790381242602709181","","","in","","0","0","0","https://twitter.com/jjkxysl/status/1790381242602709181","1642062222481559553","jjkxysl"
"1790376489688478118","Tue May 14 13:40:26 +0000 2024","1","07. [malam kemudian] aku nulis ini sambil dengerin lagu bermuara barangkali kalian juga mau baca sambil dengerin lagu yang sama https://t.co/Q2nc5EXROY","1790376630210187476","","azuraaruna","in","04` | 𝓛ovetaria↷","0","1","0","https://twitter.com/azuraaruna/status/1790376630210187476","1632714896864604160","azuraaruna"
"1790375641168114055","Tue May 14 13:36:31 +0000 2024","0","Bermuara dmn kita","1790375641168114055","","","in","Malang, Jawa Timur","0","0","0","https://twitter.com/Marshyacintya1/status/1790375641168114055","1115618682305011712","Marshyacintya1"
"1790374814877683788","Tue May 14 13:33:14 +0000 2024","0","Lagu risky febian yg bermuara kalau lewat ni lagunya lirik d otak hamda selalu sayang perjalanan kita jalan jalan kok bisaaaaaaa itu ","1790374814877683788","","","in","","0","0","0","https://twitter.com/aegi_doechan/status/1790374814877683788","4717167464","aegi_doechan"
"1790372418718171471","Tue May 14 13:23:42 +0000 2024","0","kau ganti senyuman lukiskan khayalan ~ part fav gue bgt sih #bermuara","1790372418718171471","","","in","ID","0","0","0","https://twitter.com/liaddrm/status/1790372418718171471","1496144582681444356","liaddrm"
"1790365624948097172","Tue May 14 12:59:56 +0000 2024","0","@highkeyhornym dengerin bermuara sampe budek mau ga","1790366436336263552","","highkeyhornym","in","dnf","0","1","0","https://twitter.com/bieeboul/status/1790366436336263552","1635581460060176386","bieeboul"
"1790365167831937142","Tue May 14 12:54:54 +0000 2024","0","sayang perjalanan kita kan berlayar berlabuh ditujuan yang sama bermuara di keabadiaaan","1790365167831937142","","","in","Serena Jean","0","0","0","https://twitter.com/SEJEONGkkum/status/1790365167831937142","1390289525054705664","SEJEONGkkum"
"1790363370555904031","Tue May 14 12:47:45 +0000 2024","0","Gara2 cewe lu upload story wedding pake lagu BERMUARA.. gue skrg eneg bgt tiap denger lg itu","1790363370555904031","","","in","","0","0","0","https://twitter.com/hararejo/status/1790363370555904031","203795792","hararejo"
"1790360767356887423","Tue May 14 12:37:24 +0000 2024","1","Kecanduan bgt sama lagu Bermuara ","1790360767356887423","","","in","Isekai bagian Timur","0","0","0","https://twitter.com/nickneinn/status/1790360767356887423","3322673293","nickneinn"
"1790359780433051749","Tue May 14 12:33:29 +0000 2024","0","AKHIRNYA AK DI POST MAKE LAGU BERMUARA walaupun sm mua wisuda kmrn‍‍‍‍‍‍‍‍","1790359780433051749","","","in","17","0","2","0","https://twitter.com/ppopsiclees/status/1790359780433051749","1445231557753511941","ppopsiclees"
